booking_id,customer_id,room_id,hotel_id,check_in_date,check_out_date,booking_date,nights,price,discount_percent,discounted_price,revenue,is_canceled,lead_time,no_of_guests,market_segment,booking_channel,meal_plan,rating,booking_time,payment_method,room_type
BKG000022,CID3177,167,34,2024-04-03,2024-04-05,2024-03-28,2,4533.87,0,4533.87,4533.87,0,6,2,Online,OYO Website,No Meal,3.4,11:42,UPI,Deluxe
BKG000023,CID5920,21,5,2024-11-11,2024-11-14,2024-10-17,3,4224.04,5,4012.84,4012.84,0,25,1,Corporate,Corporate Direct,Breakfast Included,,20:45,UPI,Standard
BKG000024,CID4070,158,32,2024-09-22,2024-09-25,2024-09-22,3,12511.7,20,10009.36,0.0,1,0,1,Corporate,Corporate Direct,Breakfast Included,2.8,09:30,Credit Card,Premium
BKG000025,CID2883,208,42,2024-10-08,2024-10-09,2024-09-02,1,2919.58,30,2043.71,2043.71,0,36,2,Corporate,Corporate Direct,Breakfast Included,3.6,19:26,Credit Card,Premium
BKG000026,CID0263,286,58,2024-08-12,2024-08-14,2024-07-30,2,2724.86,20,2179.89,2179.89,0,13,2,Corporate,Corporate Direct,Full Board,3.8,17:44,Wallet,Standard
BKG000027,CID4267,197,40,2024-07-25,2024-07-28,2024-07-24,3,5877.58,5,5583.7,5583.7,0,1,1,Corporate,Corporate Direct,No Meal,4.9,18:42,UPI,Deluxe
BKG000028,CID6259,96,20,2024-11-19,2024-11-24,2024-11-18,5,7626.56,0,7626.56,7626.56,0,1,3,Online,OYO Website,Breakfast Included,4.3,17:29,Credit Card,Standard
BKG000029,CID3329,132,27,2024-10-07,2024-10-08,2024-09-30,1,2424.78,10,2182.3,2182.3,0,7,4,Travel Agent,MakeMyTrip,Half Board,,15:19,Debit Card,Deluxe
BKG000030,CID4187,206,42,2024-06-01,2024-06-02,2024-06-01,1,1530.67,30,1071.47,1071.47,0,0,3,OTA,Booking.com,Half Board,4.4,21:04,UPI,Standard
BKG000031,CID5171,171,35,2024-11-20,2024-11-22,2024-11-20,2,2435.39,0,2435.39,2435.39,0,0,3,Online,OYO Website,Breakfast Included,4.3,22:23,Debit Card,Standard
BKG000032,CID1227,181,37,2024-12-14,2024-12-17,2024-12-14,3,3576.18,5,3397.37,3397.37,0,0,2,Travel Agent,Goibibo,No Meal,3.5,11:38,UPI,Standard
BKG000033,CID3293,32,7,2024-07-03,2024-07-05,2024-05-16,2,4027.13,15,3423.06,3423.06,0,48,1,OTA,Goibibo,No Meal,3.6,23:51,UPI,Deluxe
BKG000034,CID3795,296,60,2024-04-06,2024-04-07,2024-03-18,1,1519.62,0,1519.62,1519.62,0,19,2,Corporate,Corporate Direct,No Meal,3.4,16:12,Net Banking,Standard
BKG000035,CID3869,236,48,2024-05-10,2024-05-12,2024-04-29,2,2066.48,25,1549.86,1549.86,0,11,1,Online,OYO Website,Breakfast Included,,16:41,Cash,Standard
BKG000036,CID0811,96,20,2024-09-28,2024-10-01,2024-09-25,3,4221.25,10,3799.12,3799.12,0,3,2,Online,OYO Website,Breakfast Included,,15:12,Wallet,Standard
BKG000037,CID3591,84,17,2024-10-24,2024-10-29,2024-10-19,5,30149.13,5,28641.67,28641.67,0,5,1,Walk-in,Walk-in,No Meal,3.1,16:46,UPI,Suite
BKG000038,CID1939,127,26,2024-10-14,2024-10-17,2024-09-25,3,5342.35,25,4006.76,0.0,1,19,2,Online,OYO App,No Meal,3.9,15:09,UPI,Deluxe
BKG000039,CID1130,31,7,2024-10-15,2024-10-18,2024-10-03,3,4098.04,0,4098.04,4098.04,0,12,3,Online,OYO Website,No Meal,4.5,15:32,Debit Card,Standard
BKG000040,CID3467,294,59,2024-08-08,2024-08-09,2024-07-29,1,5595.04,30,3916.53,3916.53,0,10,2,Walk-in,Walk-in,No Meal,3.2,21:10,Credit Card,Suite
BKG000041,CID7320,307,62,2024-07-28,2024-08-02,2024-07-21,5,11472.08,10,10324.87,10324.87,0,7,2,Online,OYO App,Breakfast Included,,23:18,UPI,Deluxe
BKG000042,CID3289,176,36,2024-04-10,2024-04-13,2024-03-31,3,2615.61,10,2354.05,2354.05,0,10,1,Corporate,Corporate Direct,No Meal,3.6,17:07,Credit Card,Standard
BKG000043,CID4584,12,3,2024-03-04,2024-03-05,2024-01-01,1,1535.98,5,1459.18,1459.18,0,77,1,Online,OYO App,No Meal,3.4,22:07,UPI,Deluxe
BKG000044,CID5784,232,47,2024-11-24,2024-11-25,2024-11-19,1,2322.56,5,2206.43,2206.43,0,5,4,Online,OYO App,No Meal,3.9,23:34,Net Banking,Deluxe
BKG000045,CID1900,73,15,2024-08-07,2024-08-13,2024-08-02,6,17446.35,30,12212.44,12212.44,0,5,4,Travel Agent,Goibibo,Breakfast Included,,19:15,UPI,Premium
BKG000046,CID0258,119,24,2024-06-13,2024-06-16,2024-06-04,3,14642.95,0,14642.95,14642.95,0,9,2,OTA,MakeMyTrip,Half Board,,12:39,Debit Card,Suite
BKG000047,CID3380,306,62,2024-05-24,2024-05-25,2024-05-10,1,1177.35,5,1118.48,1118.48,0,14,1,Online,OYO Website,Breakfast Included,3.3,22:54,UPI,Standard
BKG000048,CID4797,70,14,2024-11-30,2024-12-02,2024-11-27,2,15333.34,10,13800.01,13800.01,0,3,1,Corporate,Corporate Direct,Breakfast Included,4.3,22:44,Credit Card,Luxury
BKG000049,CID4642,182,37,2024-07-09,2024-07-11,2024-07-08,2,4476.94,0,4476.94,4476.94,0,1,1,Walk-in,Walk-in,Breakfast Included,,16:26,Credit Card,Deluxe
BKG000050,CID3521,271,55,2024-07-30,2024-07-31,2024-07-28,1,1143.73,10,1029.36,1029.36,0,2,2,OTA,Booking.com,Breakfast Included,3.3,23:24,UPI,Standard
BKG000051,CID2531,257,52,2024-05-08,2024-05-10,2024-04-26,2,4258.88,10,3832.99,3832.99,0,12,1,OTA,Booking.com,No Meal,3.7,11:09,Cash,Deluxe
BKG000052,CID0318,16,4,2024-04-02,2024-04-05,2024-04-02,3,3579.08,0,3579.08,3579.08,0,0,2,OTA,MakeMyTrip,Full Board,3.6,21:28,Wallet,Standard
BKG000053,CID6998,61,13,2024-05-28,2024-05-29,2024-05-21,1,1070.85,10,963.76,963.76,0,7,2,Walk-in,Walk-in,No Meal,4.9,19:22,Net Banking,Standard
BKG000054,CID5958,214,43,2024-06-16,2024-06-17,2024-05-29,1,4386.77,5,4167.43,4167.43,0,18,1,Online,OYO App,Breakfast Included,4.7,18:36,Net Banking,Suite
BKG000055,CID7466,179,36,2024-12-03,2024-12-07,2024-12-02,4,22519.72,30,15763.8,0.0,1,1,2,Online,OYO Website,No Meal,3.6,20:22,Debit Card,Suite
BKG000056,CID2785,49,10,2024-08-02,2024-08-04,2024-07-04,2,11518.64,30,8063.05,8063.05,0,29,2,OTA,Agoda,Half Board,3.2,19:44,Net Banking,Suite
BKG000057,CID0463,227,46,2024-07-28,2024-08-02,2024-07-23,5,8307.43,15,7061.32,7061.32,0,5,4,OTA,Goibibo,No Meal,,18:05,UPI,Deluxe
BKG000058,CID3251,88,18,2024-11-09,2024-11-16,2024-11-09,7,26241.09,10,23616.98,23616.98,0,0,1,Online,OYO Website,Half Board,3.7,20:56,UPI,Premium
BKG000059,CID0376,289,58,2024-06-28,2024-06-29,2024-06-15,1,6758.01,15,5744.31,0.0,1,13,2,Online,OYO App,No Meal,2.3,19:52,UPI,Suite
BKG000060,CID6153,221,45,2024-03-04,2024-03-06,2024-03-02,2,2201.24,0,2201.24,2201.24,0,2,1,Corporate,Corporate Direct,Breakfast Included,3.2,19:51,Credit Card,Standard
BKG000061,CID1749,267,54,2024-10-30,2024-10-31,2024-10-14,1,1676.84,30,1173.79,1173.79,0,16,1,Online,OYO Website,No Meal,,15:59,Credit Card,Deluxe
BKG000062,CID2930,167,34,2024-09-02,2024-09-04,2024-08-25,2,4441.25,0,4441.25,4441.25,0,8,1,OTA,MakeMyTrip,Breakfast Included,3.7,19:49,UPI,Deluxe
BKG000063,CID1210,295,59,2024-03-20,2024-03-21,2024-03-12,1,6791.05,15,5772.39,5772.39,0,8,2,Corporate,Corporate Direct,Breakfast Included,3.7,12:11,Wallet,Luxury
BKG000064,CID2009,308,62,2024-02-04,2024-02-05,2024-01-19,1,3553.41,5,3375.74,3375.74,0,16,4,Walk-in,Walk-in,Breakfast Included,4.2,09:26,Credit Card,Premium
BKG000065,CID2773,217,44,2024-11-17,2024-11-18,2024-11-15,1,2344.17,0,2344.17,2344.17,0,2,2,Walk-in,Walk-in,No Meal,3.8,22:34,UPI,Deluxe
BKG000066,CID0499,191,39,2024-01-18,2024-01-19,2024-01-13,1,1389.94,10,1250.95,1250.95,0,5,4,OTA,Goibibo,Half Board,3.7,17:48,Credit Card,Standard
BKG000067,CID5505,316,64,2024-09-20,2024-09-25,2024-09-17,5,5064.7,5,4811.46,4811.46,0,3,4,OTA,MakeMyTrip,No Meal,,16:27,UPI,Standard
BKG000068,CID0122,296,60,2024-10-26,2024-10-29,2024-10-03,3,4018.64,0,4018.64,4018.64,0,23,3,Online,OYO Website,No Meal,3.7,10:41,Wallet,Standard
BKG000069,CID1575,141,29,2024-11-03,2024-11-05,2024-10-07,2,2515.31,20,2012.25,2012.25,0,27,2,Corporate,Corporate Direct,Half Board,4.1,11:10,UPI,Standard
BKG000070,CID2593,213,43,2024-04-13,2024-04-14,2024-04-08,1,3192.7,25,2394.52,2394.52,0,5,1,Online,OYO App,No Meal,,19:19,Cash,Premium
BKG000071,CID5515,70,14,2024-07-15,2024-07-16,2024-06-02,1,8201.29,10,7381.16,0.0,1,43,1,Corporate,Corporate Direct,Breakfast Included,,21:29,Wallet,Luxury
BKG000072,CID6249,31,7,2024-12-12,2024-12-14,2024-11-27,2,2755.16,5,2617.4,2617.4,0,15,1,Corporate,Corporate Direct,No Meal,3.5,17:56,UPI,Standard
BKG000073,CID3272,271,55,2024-07-12,2024-07-13,2024-06-24,1,1278.45,5,1214.53,1214.53,0,18,1,Corporate,Corporate Direct,Half Board,,18:34,UPI,Standard
BKG000074,CID5138,151,31,2024-09-13,2024-09-18,2024-09-03,5,4706.28,0,4706.28,4706.28,0,10,3,OTA,Agoda,Half Board,4.0,21:13,Wallet,Standard
BKG000075,CID2416,264,53,2024-06-27,2024-06-29,2024-06-23,2,10014.33,30,7010.03,7010.03,0,4,1,Walk-in,Walk-in,No Meal,4.2,20:21,Debit Card,Suite
BKG000076,CID4860,113,23,2024-09-22,2024-09-23,2024-09-17,1,2958.44,5,2810.52,2810.52,0,5,4,Corporate,Corporate Direct,No Meal,4.6,23:29,Debit Card,Premium
BKG000077,CID7498,88,18,2024-11-24,2024-12-01,2024-11-17,7,25560.07,15,21726.06,0.0,1,7,1,Travel Agent,Goibibo,No Meal,3.3,21:11,Wallet,Premium
BKG000078,CID2417,229,46,2024-01-18,2024-01-19,2024-01-01,1,7576.16,15,6439.74,6439.74,0,36,4,Online,OYO Website,No Meal,,19:45,UPI,Suite
BKG000079,CID5894,311,63,2024-10-08,2024-10-10,2024-09-09,2,2383.32,5,2264.15,2264.15,0,29,1,OTA,Agoda,No Meal,,16:40,Credit Card,Standard
BKG000080,CID5419,157,32,2024-08-21,2024-08-22,2024-08-04,1,2050.14,5,1947.63,1947.63,0,17,1,Travel Agent,MakeMyTrip,No Meal,3.4,10:48,UPI,Deluxe
BKG000081,CID3360,312,63,2024-01-09,2024-01-10,2024-01-01,1,1661.8,15,1412.53,1412.53,0,11,4,OTA,MakeMyTrip,Breakfast Included,,14:54,Wallet,Deluxe
BKG000082,CID4580,142,29,2024-06-29,2024-07-02,2024-06-06,3,4746.96,5,4509.61,0.0,1,23,1,Walk-in,Walk-in,No Meal,4.2,19:27,Debit Card,Deluxe
BKG000083,CID4743,123,25,2024-07-27,2024-07-28,2024-07-21,1,2916.85,25,2187.64,2187.64,0,6,2,Online,OYO App,No Meal,,17:58,Credit Card,Premium
BKG000084,CID1075,223,45,2024-09-28,2024-10-01,2024-08-05,3,11125.48,0,11125.48,11125.48,0,54,2,Online,OYO App,Half Board,4.7,20:55,UPI,Premium
BKG000085,CID2913,281,57,2024-07-10,2024-07-17,2024-06-25,7,7775.77,20,6220.62,6220.62,0,15,2,OTA,Booking.com,Full Board,4.5,22:36,UPI,Standard
BKG000086,CID6348,266,54,2024-12-29,2024-12-30,2024-12-21,1,957.12,0,957.12,957.12,0,8,1,Walk-in,Walk-in,Breakfast Included,2.8,09:22,Credit Card,Standard
BKG000087,CID0015,62,13,2024-07-30,2024-08-02,2024-07-06,3,4980.42,10,4482.38,4482.38,0,24,1,OTA,Booking.com,No Meal,3.4,16:20,Debit Card,Deluxe
BKG000088,CID2963,236,48,2024-04-18,2024-04-20,2024-04-15,2,1799.28,20,1439.42,1439.42,0,3,2,Online,OYO Website,Breakfast Included,3.5,17:56,Debit Card,Standard
BKG000089,CID7310,38,8,2024-09-26,2024-09-27,2024-09-21,1,2636.19,10,2372.57,2372.57,0,5,2,Online,OYO Website,Full Board,3.8,19:31,Net Banking,Premium
BKG000090,CID6313,252,51,2024-09-10,2024-09-12,2024-07-09,2,4028.96,5,3827.51,3827.51,0,63,2,Corporate,Corporate Direct,No Meal,,15:56,Credit Card,Deluxe
BKG000091,CID2255,128,26,2024-12-22,2024-12-23,2024-12-09,1,2988.91,0,2988.91,2988.91,0,13,1,Online,OYO Website,Breakfast Included,4.3,11:01,UPI,Premium
BKG000092,CID3395,206,42,2024-06-10,2024-06-11,2024-04-17,1,1507.31,30,1055.12,0.0,1,54,2,OTA,Goibibo,Full Board,,23:16,Debit Card,Standard
BKG000093,CID4841,101,21,2024-04-21,2024-04-25,2024-04-08,4,4517.82,10,4066.04,4066.04,0,13,4,Online,OYO Website,Full Board,3.9,06:35,Wallet,Standard
BKG000094,CID4423,231,47,2024-06-15,2024-06-19,2024-06-06,4,4715.91,30,3301.14,3301.14,0,9,1,Travel Agent,Goibibo,No Meal,3.8,20:28,Debit Card,Standard
BKG000095,CID6082,136,28,2024-07-25,2024-07-27,2024-07-17,2,2685.06,15,2282.3,2282.3,0,8,1,Online,OYO App,Breakfast Included,2.8,17:31,Wallet,Standard
BKG000096,CID1279,266,54,2024-11-09,2024-11-10,2024-10-29,1,1189.76,20,951.81,951.81,0,11,1,Corporate,Corporate Direct,No Meal,,19:59,Credit Card,Standard
BKG000097,CID6506,77,16,2024-10-19,2024-10-20,2024-10-19,1,2503.13,0,2503.13,0.0,1,0,1,Online,OYO App,No Meal,3.4,14:21,Credit Card,Deluxe
BKG000098,CID0776,21,5,2024-12-30,2024-12-31,2024-12-24,1,1309.07,30,916.35,916.35,0,6,2,Online,OYO App,Full Board,2.7,20:01,Credit Card,Standard
BKG000099,CID6293,283,57,2024-06-20,2024-06-21,2024-06-13,1,3685.63,15,3132.79,3132.79,0,7,4,OTA,Goibibo,No Meal,4.2,11:15,UPI,Premium
BKG000100,CID0425,222,45,2024-05-05,2024-05-06,2024-04-20,1,2025.92,15,1722.03,1722.03,0,15,1,Online,OYO App,Breakfast Included,3.4,17:58,UPI,Deluxe
BKG000101,CID3637,218,44,2024-04-22,2024-04-23,2024-04-20,1,3158.86,0,3158.86,3158.86,0,2,1,OTA,Booking.com,No Meal,3.8,06:02,UPI,Premium
BKG000102,CID5231,58,12,2024-10-27,2024-10-29,2024-10-27,2,6263.29,10,5636.96,0.0,1,0,1,OTA,Goibibo,Breakfast Included,2.6,22:20,Debit Card,Premium
BKG000103,CID1520,97,20,2024-10-19,2024-10-20,2024-09-13,1,2371.24,15,2015.55,2015.55,0,36,2,Online,OYO Website,Half Board,,21:42,UPI,Deluxe
BKG000104,CID5848,111,23,2024-08-21,2024-08-22,2024-08-13,1,1521.76,30,1065.23,1065.23,0,8,3,OTA,Goibibo,Breakfast Included,,19:30,Credit Card,Standard
BKG000105,CID3712,70,14,2024-07-14,2024-07-16,2024-06-16,2,13360.47,0,13360.47,13360.47,0,28,2,Online,OYO App,Breakfast Included,3.8,15:38,Net Banking,Luxury
BKG000106,CID4968,226,46,2024-11-06,2024-11-07,2024-10-20,1,1190.69,20,952.55,0.0,1,17,4,Corporate,Corporate Direct,Breakfast Included,4.0,23:20,UPI,Standard
BKG000107,CID0329,107,22,2024-10-01,2024-10-03,2024-09-27,2,3763.35,15,3198.85,3198.85,0,4,2,Travel Agent,MakeMyTrip,Half Board,3.6,21:18,Credit Card,Deluxe
BKG000108,CID4053,296,60,2024-12-26,2024-12-29,2024-12-26,3,4247.81,30,2973.47,2973.47,0,0,2,OTA,Booking.com,Half Board,4.8,22:55,Wallet,Standard
BKG000109,CID5082,27,6,2024-03-27,2024-03-28,2024-03-02,1,2409.93,25,1807.45,1807.45,0,25,1,Walk-in,Walk-in,No Meal,4.0,16:47,UPI,Deluxe
BKG000110,CID3186,213,43,2024-06-06,2024-06-09,2024-05-20,3,9287.51,25,6965.63,6965.63,0,17,3,OTA,MakeMyTrip,No Meal,4.1,20:07,UPI,Premium
BKG000111,CID2966,167,34,2024-10-22,2024-10-24,2024-10-10,2,4566.01,5,4337.71,4337.71,0,12,2,OTA,Booking.com,No Meal,,19:42,UPI,Deluxe
BKG000112,CID4153,107,22,2024-12-25,2024-12-26,2024-11-18,1,1695.36,10,1525.82,1525.82,0,37,2,OTA,Agoda,Half Board,3.6,16:16,UPI,Deluxe
BKG000113,CID4320,141,29,2024-01-10,2024-01-12,2024-01-09,2,3316.75,0,3316.75,3316.75,0,1,1,Travel Agent,Goibibo,Breakfast Included,4.3,15:40,Net Banking,Standard
BKG000114,CID0825,201,41,2024-09-22,2024-09-26,2024-09-22,4,6857.54,10,6171.79,6171.79,0,0,2,Corporate,Corporate Direct,No Meal,,22:14,Wallet,Standard
BKG000115,CID1360,233,47,2024-04-08,2024-04-09,2024-04-08,1,2278.7,15,1936.89,1936.89,0,0,2,Online,OYO Website,No Meal,3.7,17:53,Debit Card,Premium
BKG000116,CID0810,138,28,2024-08-04,2024-08-05,2024-07-24,1,3584.71,10,3226.24,3226.24,0,11,1,Online,OYO Website,Breakfast Included,2.7,14:40,Net Banking,Premium
BKG000117,CID1678,282,57,2024-10-23,2024-10-25,2024-09-18,2,3313.48,0,3313.48,3313.48,0,35,1,Online,OYO Website,Breakfast Included,3.4,16:51,Wallet,Deluxe
BKG000118,CID0584,69,14,2024-07-10,2024-07-14,2024-07-09,4,17033.64,30,11923.55,11923.55,0,1,2,Online,OYO App,Full Board,3.7,21:04,UPI,Suite
BKG000119,CID2700,241,49,2024-09-14,2024-09-16,2024-08-16,2,2249.12,10,2024.21,0.0,1,29,2,Corporate,Corporate Direct,Breakfast Included,4.4,14:38,Net Banking,Standard
BKG000120,CID6140,306,62,2024-07-27,2024-07-31,2024-07-16,4,4968.75,0,4968.75,4968.75,0,11,1,Walk-in,Walk-in,Breakfast Included,3.4,19:22,Credit Card,Standard
BKG000121,CID1168,314,63,2024-10-25,2024-10-26,2024-09-25,1,4749.16,0,4749.16,0.0,1,30,1,OTA,MakeMyTrip,Breakfast Included,3.5,06:00,Wallet,Suite
BKG000122,CID1406,268,54,2024-01-28,2024-01-30,2024-01-01,2,6205.06,15,5274.3,5274.3,0,34,3,Online,OYO Website,No Meal,4.6,16:26,Net Banking,Premium
BKG000123,CID7273,17,4,2024-03-18,2024-03-19,2024-02-17,1,1734.54,20,1387.63,1387.63,0,30,1,Online,OYO Website,Breakfast Included,,09:00,UPI,Deluxe
BKG000124,CID2876,168,34,2024-10-28,2024-11-01,2024-10-18,4,13201.18,0,13201.18,13201.18,0,10,1,Corporate,Corporate Direct,No Meal,2.9,11:58,UPI,Premium
BKG000125,CID4201,53,11,2024-07-08,2024-07-11,2024-06-29,3,8043.73,30,5630.61,5630.61,0,9,2,OTA,MakeMyTrip,No Meal,3.2,18:52,UPI,Premium
BKG000126,CID1584,187,38,2024-07-03,2024-07-04,2024-06-20,1,2153.06,0,2153.06,2153.06,0,13,1,Corporate,Corporate Direct,Half Board,3.5,15:34,Credit Card,Deluxe
BKG000127,CID7268,83,17,2024-07-29,2024-07-30,2024-05-24,1,4015.89,15,3413.51,3413.51,0,66,2,OTA,Agoda,No Meal,3.6,23:47,Wallet,Premium
BKG000128,CID1398,311,63,2024-10-14,2024-10-17,2024-09-17,3,3197.8,20,2558.24,2558.24,0,27,1,OTA,Agoda,Breakfast Included,3.9,17:11,Wallet,Standard
BKG000129,CID5808,278,56,2024-12-21,2024-12-26,2024-12-09,5,14049.53,15,11942.1,11942.1,0,12,4,OTA,Booking.com,Breakfast Included,3.3,10:11,UPI,Premium
BKG000130,CID6347,1,1,2024-04-18,2024-04-20,2024-04-06,2,1467.48,0,1467.48,0.0,1,12,2,OTA,Goibibo,Full Board,3.4,15:44,Credit Card,Standard
BKG000131,CID2599,112,23,2024-07-14,2024-07-15,2024-07-12,1,2213.91,5,2103.21,2103.21,0,2,3,Corporate,Corporate Direct,Breakfast Included,,20:04,Credit Card,Deluxe
BKG000132,CID1340,247,50,2024-03-15,2024-03-16,2024-02-29,1,1752.33,30,1226.63,1226.63,0,15,1,Online,OYO Website,No Meal,3.6,16:40,UPI,Deluxe
BKG000133,CID4416,37,8,2024-12-28,2024-12-29,2024-12-22,1,2067.99,15,1757.79,1757.79,0,6,1,Online,OYO App,Breakfast Included,3.4,14:09,UPI,Deluxe
BKG000134,CID3642,23,5,2024-11-26,2024-11-27,2024-09-29,1,2599.23,10,2339.31,0.0,1,58,1,OTA,Agoda,No Meal,3.0,11:57,Credit Card,Premium
BKG000135,CID2544,86,18,2024-04-05,2024-04-07,2024-03-17,2,2947.83,30,2063.48,2063.48,0,19,2,Online,OYO Website,Breakfast Included,4.7,10:51,Net Banking,Standard
BKG000136,CID6630,181,37,2024-11-25,2024-11-29,2024-11-23,4,5406.64,0,5406.64,5406.64,0,2,3,Corporate,Corporate Direct,No Meal,3.7,21:51,Credit Card,Standard
BKG000137,CID5559,306,62,2024-03-11,2024-03-13,2024-02-22,2,2412.22,25,1809.16,1809.16,0,18,2,Travel Agent,Goibibo,No Meal,4.7,23:19,Credit Card,Standard
BKG000138,CID5482,315,63,2024-12-06,2024-12-10,2024-12-01,4,43207.71,5,41047.32,41047.32,0,5,1,Travel Agent,Goibibo,No Meal,,15:37,Debit Card,Luxury
BKG000139,CID6283,143,29,2024-08-09,2024-08-10,2024-08-03,1,2527.12,15,2148.05,2148.05,0,6,1,Online,OYO Website,No Meal,3.2,16:40,Credit Card,Premium
BKG000140,CID6913,281,57,2024-10-11,2024-10-14,2024-10-10,3,3596.65,10,3236.98,3236.98,0,1,2,Corporate,Corporate Direct,Full Board,3.9,14:56,Cash,Standard
BKG000141,CID5454,3,1,2024-04-20,2024-04-25,2024-03-04,5,19654.19,30,13757.93,13757.93,0,47,1,Corporate,Corporate Direct,Half Board,3.5,21:48,Cash,Premium
BKG000142,CID5301,79,16,2024-03-27,2024-03-28,2024-02-27,1,6426.51,15,5462.53,0.0,1,29,1,OTA,MakeMyTrip,Full Board,3.1,21:19,UPI,Suite
BKG000143,CID7338,64,13,2024-12-26,2024-12-28,2024-09-25,2,14236.34,20,11389.07,11389.07,0,92,1,Online,OYO App,No Meal,2.6,06:34,Credit Card,Suite
BKG000144,CID6475,91,19,2024-12-24,2024-12-27,2024-12-22,3,3941.21,0,3941.21,3941.21,0,2,2,Online,OYO App,Breakfast Included,,18:38,UPI,Standard
BKG000145,CID3711,300,60,2024-05-05,2024-05-08,2024-05-02,3,31036.51,0,31036.51,0.0,1,3,1,Corporate,Corporate Direct,Breakfast Included,3.5,21:26,UPI,Luxury
BKG000146,CID2244,101,21,2024-04-21,2024-04-26,2024-02-25,5,6821.78,5,6480.69,6480.69,0,56,1,OTA,Booking.com,Half Board,2.9,15:39,UPI,Standard
